,Location,Fuel_Type,Transmission,Mileage,Engine,Power,Seats,Price,Car_Companies,Car_model
2782,Jaipur,Diesel,Manual,23.0,1396.0,90.0,5.0,5.85,Hyundai,i20
2784,Hyderabad,Diesel,Manual,23.08,1461.0,63.1,5.0,3.6,Nissan,micra
2790,Coimbatore,Diesel,Manual,11.68,2498.0,112.0,8.0,7.46,Mahindra,xylo
2791,Delhi,Diesel,Manual,21.8,1461.0,78.0,5.0,3.49,Renault,fluence
2793,Kochi,Diesel,Manual,10.5,2835.0,107.2,6.0,11.88,Mitsubishi,pajero
2798,Coimbatore,Diesel,Manual,18.49,1493.0,100.0,7.0,7.36,Mahindra,tuv
2799,Delhi,Diesel,Manual,12.05,2179.0,120.0,8.0,4.4,Mahindra,scorpio
2806,Pune,Diesel,Manual,23.0,1396.0,90.0,5.0,4.11,Hyundai,i20
2813,Jaipur,Diesel,Manual,25.1,1498.0,98.6,5.0,6.4,Honda,city
2816,Kochi,Diesel,Manual,15.1,2179.0,140.0,7.0,7.31,Mahindra,xuv500
2817,Jaipur,Diesel,Manual,28.09,1248.0,88.5,5.0,7.1,Maruti,ciaz
2818,Kochi,Diesel,Manual,22.32,1582.0,126.32,5.0,7.83,Hyundai,verna
2819,Mumbai,Diesel,Manual,13.1,1493.0,82.0,5.0,0.85,Hyundai,accent
2826,Kolkata,Diesel,Manual,19.01,1461.0,108.45,5.0,4.99,Renault,duster
2828,Coimbatore,Diesel,Manual,20.5,1248.0,91.72,5.0,7.71,Fiat,avventura
2830,Kolkata,Diesel,Manual,22.1,1248.0,76.9,5.0,3.0,Chevrolet,sail
2831,Coimbatore,Diesel,Manual,15.1,2179.0,140.0,7.0,12.49,Mahindra,xuv500
2832,Kochi,Diesel,Manual,23.0,1248.0,88.8,5.0,5.0,Tata,zest
2834,Chennai,Diesel,Manual,25.2,1248.0,74.0,5.0,6.5,Maruti,swift
2836,Chennai,Diesel,Manual,25.0,1396.0,69.01,5.0,2.0,Tata,indigo
2837,Kochi,Diesel,Manual,15.1,2179.0,140.0,7.0,9.46,Mahindra,xuv500
2854,Bangalore,Diesel,Manual,12.05,2179.0,120.0,8.0,4.35,Mahindra,scorpio
2856,Coimbatore,Diesel,Manual,25.44,936.0,56.3,5.0,3.63,Chevrolet,beat
2857,Delhi,Diesel,Manual,12.8,2494.0,102.0,8.0,4.75,Toyota,innova
2860,Hyderabad,Diesel,Manual,22.95,1248.0,74.0,5.0,6.0,Tata,bolt
2862,Ahmedabad,Diesel,Manual,20.34,1498.0,103.2,5.0,4.9,Volkswagen,vento
2864,Kolkata,Diesel,Manual,19.3,1248.0,73.9,5.0,4.76,Maruti,swift
2868,Hyderabad,Diesel,Manual,23.4,1248.0,74.0,5.0,5.75,Maruti,swift
2869,Hyderabad,Diesel,Manual,20.14,1498.0,88.5,5.0,5.7,Volkswagen,crosspolo
2873,Hyderabad,Diesel,Manual,20.14,1498.0,88.8,5.0,6.5,Volkswagen,polo
2875,Kochi,Diesel,Manual,25.8,1498.0,98.6,5.0,5.4,Honda,amaze
2877,Kochi,Diesel,Manual,24.7,1047.0,69.0,5.0,7.46,Tata,tigor
2880,Hyderabad,Diesel,Manual,19.01,1461.0,108.5,5.0,6.8,Nissan,terrano
2882,Hyderabad,Diesel,Manual,25.83,1498.0,99.0,5.0,5.29,Ford,figo
2883,Pune,Diesel,Manual,15.42,1405.0,70.0,8.0,2.5,Tata,venture
2885,Jaipur,Diesel,Manual,13.0,2982.0,168.5,7.0,20.0,Toyota,fortuner
2888,Hyderabad,Diesel,Manual,20.54,1598.0,103.6,5.0,3.65,Volkswagen,vento
2889,Kochi,Diesel,Manual,13.1,2499.0,141.0,7.0,5.86,Ford,endeavour
2891,Bangalore,Diesel,Manual,17.8,1248.0,98.35133885102239,5.0,5.0,Maruti,swift
2892,Coimbatore,Diesel,Manual,23.0,1396.0,90.0,5.0,3.37,Hyundai,i20
2893,Delhi,Diesel,Manual,12.99,2494.0,100.6,8.0,6.95,Toyota,innova
2894,Mumbai,Diesel,Manual,21.5,1497.0,108.5,5.0,9.9,Tata,nexon
2895,Hyderabad,Diesel,Manual,20.0,1399.0,68.05,5.0,3.3,Ford,figo
2899,Kolkata,Diesel,Manual,16.0,2179.0,140.0,7.0,14.5,Mahindra,xuv500
2901,Delhi,Diesel,Manual,23.4,1248.0,74.0,5.0,5.25,Maruti,swift
2906,Jaipur,Diesel,Manual,24.0,1186.0,73.97,5.0,5.75,Hyundai,grand
2908,Chennai,Diesel,Manual,17.8,1248.0,75.0,5.0,2.0,Maruti,swift
2910,Hyderabad,Diesel,Manual,12.8,2494.0,102.0,8.0,8.2,Toyota,innova
2913,Chennai,Diesel,Manual,20.0,1399.0,68.0,5.0,2.9,Ford,figo
2914,Ahmedabad,Diesel,Manual,21.43,1364.0,86.79,5.0,6.5,Toyota,corolla
2916,Coimbatore,Diesel,Manual,16.3,1956.0,170.0,5.0,23.91,Jeep,compass
2918,Pune,Diesel,Manual,11.5,2982.0,171.0,7.0,17.25,Toyota,fortuner
2919,Jaipur,Diesel,Manual,20.54,1598.0,103.6,5.0,7.0,Volkswagen,vento
2920,Mumbai,Diesel,Manual,13.68,2393.0,147.8,7.0,17.65,Toyota,innova
2921,Jaipur,Diesel,Manual,20.0,1399.0,68.1,5.0,2.5,Ford,figo
2922,Hyderabad,Diesel,Manual,23.59,1364.0,67.05,5.0,6.0,Toyota,platinum
2923,Mumbai,Diesel,Manual,18.06,2523.0,63.0,7.0,8.25,Mahindra,thar
2930,Hyderabad,Diesel,Manual,23.08,1461.0,63.1,5.0,3.3,Nissan,micra
2932,Chennai,Diesel,Manual,19.87,1461.0,83.8,5.0,5.25,Renault,duster
2933,Jaipur,Diesel,Manual,12.99,2494.0,100.6,8.0,11.75,Toyota,innova
2938,Bangalore,Diesel,Manual,15.8,2148.0,170.0,5.0,18.5,Mercedes-Benz,new
2940,Kolkata,Diesel,Manual,27.39,1248.0,74.0,5.0,6.5,Maruti,baleno
2943,Kochi,Diesel,Manual,22.7,1498.0,89.84,5.0,5.45,Ford,ecosport
2944,Hyderabad,Diesel,Manual,18.8,1248.0,90.0,5.0,2.7,Tata,manza
2945,Mumbai,Diesel,Manual,27.3,1498.0,98.6,5.0,6.25,Honda,jazz
2946,Coimbatore,Diesel,Manual,15.1,2179.0,140.0,7.0,13.28,Mahindra,xuv500
2947,Hyderabad,Diesel,Manual,23.08,1461.0,63.1,5.0,3.7,Nissan,micra
2949,Hyderabad,Diesel,Manual,19.0,1248.0,90.0,5.0,1.4,Tata,manza
2950,Kolkata,Diesel,Manual,22.9,1248.0,74.0,5.0,3.5,Maruti,swift
2952,Pune,Diesel,Manual,19.09,1405.0,69.01,5.0,2.7,Tata,indigo
2953,Kolkata,Diesel,Manual,25.8,1498.0,98.6,5.0,3.2,Honda,amaze
2955,Chennai,Diesel,Manual,20.77,1248.0,88.8,7.0,7.0,Maruti,ertiga
2959,Hyderabad,Diesel,Manual,17.1,1956.0,170.0,5.0,16.9,Jeep,compass
2960,Delhi,Diesel,Manual,22.07,1199.0,73.9,5.0,4.25,Volkswagen,polo
2965,Kochi,Diesel,Manual,12.83,2696.0,162.0,7.0,9.25,Mahindra,ssangyong
2966,Delhi,Diesel,Manual,26.59,1248.0,74.0,5.0,4.85,Maruti,swift
2967,Jaipur,Diesel,Manual,25.2,1248.0,74.0,5.0,4.8,Maruti,swift
2970,Pune,Diesel,Manual,22.95,1248.0,74.0,5.0,5.0,Tata,zest
2974,Delhi,Diesel,Manual,22.7,1498.0,89.84,5.0,6.15,Ford,ecosport
2976,Hyderabad,Diesel,Manual,21.9,1396.0,90.0,5.0,3.1,Hyundai,i20
2979,Jaipur,Diesel,Manual,17.8,1248.0,75.0,5.0,5.7,Maruti,swift
2985,Delhi,Diesel,Manual,22.77,1498.0,98.59,5.0,7.25,Ford,ecosport
2988,Chennai,Diesel,Manual,12.8,2494.0,102.0,8.0,5.1,Toyota,innova
2990,Mumbai,Diesel,Manual,25.47,1248.0,88.5,7.0,9.25,Maruti,ertiga
3001,Bangalore,Diesel,Manual,23.4,1248.0,74.0,5.0,5.75,Maruti,swift
3004,Pune,Diesel,Manual,23.2,1248.0,73.94,5.0,3.65,Maruti,ritz
3005,Mumbai,Diesel,Manual,13.0,2982.0,168.5,7.0,19.85,Toyota,fortuner
3006,Pune,Diesel,Manual,17.1,1956.0,170.0,5.0,18.5,Jeep,compass
3009,Jaipur,Diesel,Manual,13.93,2179.0,138.0,7.0,3.75,Tata,new
3010,Jaipur,Diesel,Manual,19.3,1248.0,73.9,5.0,2.3,Maruti,swift
3011,Kolkata,Diesel,Manual,25.0,1396.0,69.01,5.0,2.3,Tata,indigo
3012,Hyderabad,Diesel,Manual,28.4,1248.0,74.0,5.0,5.95,Maruti,swift
3016,Bangalore,Diesel,Manual,13.93,2179.0,138.03,7.0,4.5,Tata,safari
3019,Ahmedabad,Diesel,Manual,26.0,1498.0,98.6,5.0,6.98,Honda,city
3020,Delhi,Diesel,Manual,12.6,1991.0,112.0,7.0,1.75,Hyundai,tucson
3021,Delhi,Diesel,Manual,20.0,1968.0,108.5,5.0,4.75,Skoda,laura
3022,Hyderabad,Diesel,Manual,11.5,2982.0,171.0,7.0,23.5,Toyota,fortuner
3023,Hyderabad,Diesel,Manual,22.32,1582.0,126.32,5.0,7.49,Hyundai,verna
3024,Hyderabad,Diesel,Manual,15.1,2179.0,140.0,7.0,10.85,Mahindra,xuv500
3032,Jaipur,Diesel,Manual,23.2,1248.0,73.94,5.0,3.75,Maruti,ritz
3034,Jaipur,Diesel,Manual,11.5,2982.0,171.0,7.0,12.75,Toyota,fortuner
3040,Kochi,Diesel,Manual,28.4,1248.0,74.0,5.0,5.36,Maruti,swift
3047,Kolkata,Diesel,Manual,22.07,1199.0,73.9,5.0,2.99,Volkswagen,polo
3048,Delhi,Diesel,Manual,24.3,1248.0,88.5,5.0,7.9,Maruti,vitara
3049,Mumbai,Diesel,Manual,19.87,1461.0,83.8,5.0,7.49,Renault,duster
3050,Jaipur,Diesel,Manual,18.0,1248.0,75.0,5.0,1.1,Tata,indica
3052,Mumbai,Diesel,Manual,25.4,1186.0,73.97,5.0,3.5,Hyundai,xcent
3053,Hyderabad,Diesel,Manual,18.1,1493.0,110.0,5.0,3.0,Hyundai,verna
3056,Chennai,Diesel,Manual,25.2,1248.0,74.0,5.0,5.95,Maruti,swift
3057,Hyderabad,Diesel,Manual,23.08,1461.0,63.12,5.0,4.95,Renault,pulse
3063,Jaipur,Diesel,Manual,26.21,1248.0,88.5,5.0,6.9,Maruti,ciaz
3064,Kolkata,Diesel,Manual,25.1,1498.0,98.6,5.0,5.99,Honda,city
3067,Coimbatore,Diesel,Manual,14.02,2179.0,118.3,7.0,5.85,Mahindra,xylo
3073,Hyderabad,Diesel,Manual,20.0,1968.0,108.5,5.0,5.8,Skoda,laura
3074,Hyderabad,Diesel,Manual,22.9,1248.0,74.0,5.0,4.9,Maruti,swift
3076,Hyderabad,Diesel,Manual,12.99,2494.0,100.0,8.0,12.5,Toyota,innova
3077,Hyderabad,Diesel,Manual,27.28,1047.0,69.0,5.0,5.0,Tata,tiago
3081,Pune,Diesel,Manual,23.0,1396.0,90.0,5.0,4.0,Hyundai,i20
3082,Chennai,Diesel,Manual,17.5,1896.0,106.0,5.0,4.5,Skoda,laura
3083,Kochi,Diesel,Manual,21.43,1364.0,87.2,5.0,5.87,Toyota,corolla
3084,Delhi,Diesel,Manual,15.4,2179.0,120.0,8.0,9.5,Mahindra,scorpio
3086,Coimbatore,Diesel,Manual,18.2,1248.0,73.8,8.0,3.88,Chevrolet,enjoy
3088,Delhi,Diesel,Manual,21.64,1461.0,84.8,5.0,3.5,Nissan,sunny
3090,Bangalore,Diesel,Manual,16.8,1493.0,110.0,5.0,4.45,Hyundai,verna
3095,Mumbai,Diesel,Manual,22.54,1396.0,88.73,5.0,6.35,Hyundai,i20
3098,Chennai,Diesel,Manual,22.77,1498.0,98.59,5.0,7.9,Ford,ecosport
3101,Kolkata,Diesel,Manual,23.08,1461.0,63.1,5.0,2.85,Nissan,micra
3102,Pune,Diesel,Manual,20.0,1399.0,68.0,5.0,3.2,Ford,figo
3104,Kolkata,Diesel,Manual,17.8,1248.0,98.35133885102239,5.0,3.38,Maruti,swift
3108,Ahmedabad,Diesel,Manual,21.9,1396.0,88.8,5.0,4.25,Hyundai,i20
3110,Kochi,Diesel,Manual,25.2,1248.0,74.0,5.0,5.34,Maruti,swift
3111,Jaipur,Diesel,Manual,25.2,1248.0,74.0,5.0,3.85,Maruti,swift
3112,Hyderabad,Diesel,Manual,12.8,2494.0,102.0,8.0,8.5,Toyota,innova
3113,Mumbai,Diesel,Manual,24.4,1120.0,71.0,5.0,4.2,Hyundai,xcent
3114,Delhi,Diesel,Manual,20.77,1248.0,88.7,7.0,6.75,Maruti,ertiga
3116,Coimbatore,Diesel,Manual,22.54,1396.0,88.73,5.0,8.61,Hyundai,i20
3118,Mumbai,Diesel,Manual,21.1,1248.0,73.9,5.0,2.8,Maruti,ritz
3124,Chennai,Diesel,Manual,16.0,2179.0,140.0,7.0,13.5,Mahindra,xuv500
3127,Kochi,Diesel,Manual,24.3,1248.0,88.5,5.0,9.51,Maruti,vitara
3131,Ahmedabad,Diesel,Manual,14.95,2489.0,93.7,7.0,1.85,Mahindra,xylo
3133,Hyderabad,Diesel,Manual,19.3,1248.0,73.9,5.0,5.8,Maruti,swift
3140,Coimbatore,Diesel,Manual,25.8,1498.0,98.6,5.0,5.27,Honda,amaze
3141,Jaipur,Diesel,Manual,14.1,2179.0,148.0,7.0,10.0,Tata,safari
3149,Coimbatore,Diesel,Manual,16.0,2179.0,140.0,7.0,9.24,Mahindra,xuv500
3150,Delhi,Diesel,Manual,22.7,1598.0,118.0,5.0,7.65,Maruti,s
3152,Delhi,Diesel,Manual,19.01,1461.0,108.45,5.0,4.75,Renault,duster
3163,Coimbatore,Diesel,Manual,12.62,2198.0,158.0,7.0,27.36,Ford,endeavour
3170,Coimbatore,Diesel,Manual,17.3,1998.0,163.7,5.0,7.11,Chevrolet,cruze
3171,Hyderabad,Diesel,Manual,21.1,1248.0,73.9,5.0,3.9,Maruti,ritz
3173,Pune,Diesel,Manual,28.4,1248.0,73.75,5.0,2.25,Maruti,dzire
3174,Kolkata,Diesel,Manual,22.32,1582.0,126.32,5.0,3.9,Hyundai,verna
3182,Kolkata,Diesel,Manual,23.4,1248.0,74.0,5.0,4.5,Maruti,swift
3185,Mumbai,Diesel,Manual,23.08,1461.0,63.1,5.0,3.0,Nissan,micra
3187,Chennai,Diesel,Manual,20.54,1598.0,103.6,5.0,5.0,Volkswagen,vento
3193,Bangalore,Diesel,Manual,22.7,1582.0,126.24,5.0,7.5,Hyundai,elantra
3195,Bangalore,Diesel,Manual,19.64,1461.0,108.45,5.0,8.65,Renault,duster
3198,Delhi,Diesel,Manual,14.0,2179.0,155.0,7.0,13.0,Mahindra,xuv500
3202,Delhi,Diesel,Manual,22.9,1248.0,74.0,5.0,4.3,Maruti,swift
3204,Kochi,Diesel,Manual,20.77,1248.0,88.76,7.0,6.91,Maruti,ertiga
3205,Coimbatore,Diesel,Manual,19.01,1461.0,108.45,5.0,9.75,Renault,duster
3206,Jaipur,Diesel,Manual,19.3,1248.0,73.9,5.0,4.0,Maruti,swift
3207,Hyderabad,Diesel,Manual,23.2,1248.0,73.94,5.0,3.65,Maruti,ritz
3208,Chennai,Diesel,Manual,15.1,2179.0,140.0,7.0,10.75,Mahindra,xuv500
3211,Coimbatore,Diesel,Manual,21.02,1248.0,88.8,5.0,3.7,Tata,manza
3212,Hyderabad,Diesel,Manual,12.8,2494.0,102.0,7.0,12.99,Toyota,innova
3222,Delhi,Diesel,Manual,13.0,2982.0,168.5,7.0,15.25,Toyota,fortuner
3224,Kolkata,Diesel,Manual,14.07,1948.0,83.1,7.0,4.85,Tata,sumo
3226,Chennai,Diesel,Manual,23.19,1461.0,63.12,5.0,2.5,Nissan,micra
3229,Coimbatore,Diesel,Manual,15.1,2179.0,140.0,7.0,11.52,Mahindra,xuv500
3230,Delhi,Diesel,Manual,21.5,1248.0,88.8,5.0,4.5,Maruti,sx4
3232,Coimbatore,Diesel,Manual,19.67,1582.0,126.2,5.0,13.54,Hyundai,creta
3238,Pune,Diesel,Manual,25.8,1498.0,98.6,5.0,4.65,Honda,amaze
3239,Ahmedabad,Diesel,Manual,28.4,1248.0,73.75,5.0,4.65,Maruti,dzire
3243,Chennai,Diesel,Manual,22.9,1248.0,74.0,5.0,4.5,Maruti,swift
3244,Kolkata,Diesel,Manual,16.3,1956.0,170.0,5.0,17.5,Jeep,compass
3247,Chennai,Diesel,Manual,23.59,1364.0,98.35133885102239,5.0,4.67,Toyota,etios
3252,Hyderabad,Diesel,Manual,12.8,2494.0,102.0,8.0,7.25,Toyota,innova
3253,Coimbatore,Diesel,Manual,22.7,1598.0,118.0,5.0,8.94,Maruti,sx4
3258,Ahmedabad,Diesel,Manual,25.8,1498.0,98.6,5.0,4.1,Honda,amaze
3262,Jaipur,Diesel,Manual,23.4,1248.0,74.0,5.0,5.25,Maruti,swift
3263,Kolkata,Diesel,Manual,22.3,1248.0,74.0,5.0,1.2,Tata,indica
3264,Jaipur,Diesel,Manual,12.99,2494.0,100.6,8.0,4.95,Toyota,innova
3265,Hyderabad,Diesel,Manual,19.64,1461.0,108.45,5.0,7.5,Renault,duster
3267,Delhi,Diesel,Manual,25.8,1498.0,98.6,5.0,4.45,Honda,amaze
3269,Kochi,Diesel,Manual,23.2,1248.0,73.94,5.0,4.38,Maruti,ritz
3270,Kochi,Diesel,Manual,28.09,1248.0,88.5,5.0,7.9,Maruti,ciaz
3274,Hyderabad,Diesel,Manual,23.5,1498.0,88.7,5.0,6.0,Ford,fiesta
3275,Chennai,Diesel,Manual,16.0,2179.0,140.0,7.0,6.7,Mahindra,xuv500
3278,Kochi,Diesel,Manual,15.1,2179.0,140.0,7.0,7.77,Mahindra,xuv500
3280,Kochi,Diesel,Manual,22.9,1248.0,74.0,5.0,4.94,Maruti,swift
3283,Kochi,Diesel,Manual,22.9,1248.0,74.0,5.0,4.17,Maruti,swift
3286,Jaipur,Diesel,Manual,21.12,1248.0,88.8,5.0,2.59,Tata,manza
3287,Pune,Diesel,Manual,16.0,2179.0,140.0,7.0,12.01,Mahindra,xuv500
3290,Hyderabad,Diesel,Manual,17.8,1399.0,98.35133885102239,5.0,2.4,Ford,fiesta
3293,Pune,Diesel,Manual,12.8,2494.0,102.0,7.0,6.25,Toyota,innova
3300,Kolkata,Diesel,Manual,26.1,1498.0,99.0,5.0,5.65,Ford,aspire
3301,Jaipur,Diesel,Manual,20.77,1248.0,88.8,7.0,7.0,Maruti,ertiga
3304,Hyderabad,Diesel,Manual,16.2,1493.0,110.0,5.0,3.5,Hyundai,verna
3306,Coimbatore,Diesel,Manual,19.67,1582.0,126.2,5.0,13.69,Hyundai,creta
3307,Delhi,Diesel,Manual,23.59,1364.0,67.06,5.0,3.1,Toyota,etios
3309,Pune,Diesel,Manual,19.67,1582.0,126.2,5.0,13.75,Hyundai,creta
3311,Chennai,Diesel,Manual,20.54,1598.0,103.6,5.0,5.25,Volkswagen,vento
3312,Mumbai,Diesel,Manual,16.0,2179.0,140.0,7.0,8.75,Mahindra,xuv500
3313,Kochi,Diesel,Manual,18.49,1493.0,100.0,7.0,8.87,Mahindra,tuv
3315,Pune,Diesel,Manual,20.77,1248.0,88.76,7.0,4.5,Maruti,ertiga
3316,Hyderabad,Diesel,Manual,12.83,2696.0,162.0,7.0,12.5,Mahindra,ssangyong
3318,Hyderabad,Diesel,Manual,20.77,1248.0,88.8,7.0,8.75,Maruti,ertiga
3326,Ahmedabad,Diesel,Manual,28.09,1248.0,88.5,5.0,6.25,Maruti,ciaz
3327,Delhi,Diesel,Manual,22.7,1498.0,89.84,5.0,5.1,Ford,ecosport
3329,Hyderabad,Diesel,Manual,24.0,1120.0,70.0,5.0,5.7,Hyundai,grand
3330,Bangalore,Diesel,Manual,20.5,1598.0,105.0,5.0,5.95,Volkswagen,vento
3331,Kochi,Diesel,Manual,25.44,936.0,56.3,5.0,2.4,Chevrolet,beat
3332,Mumbai,Diesel,Manual,17.21,1493.0,100.0,7.0,3.49,Mahindra,quanto
3334,Delhi,Diesel,Manual,23.59,1364.0,67.04,5.0,3.85,Toyota,etios
3340,Pune,Diesel,Manual,26.59,1248.0,74.0,5.0,4.25,Maruti,swift
3342,Kolkata,Diesel,Manual,22.7,1598.0,118.0,5.0,7.0,Maruti,s
3345,Kolkata,Diesel,Manual,21.9,1396.0,90.0,5.0,2.4,Hyundai,i20
3346,Pune,Diesel,Manual,20.54,1598.0,103.6,5.0,4.33,Volkswagen,vento
3348,Ahmedabad,Diesel,Manual,21.9,1396.0,90.0,5.0,4.25,Hyundai,i20
3351,Mumbai,Diesel,Manual,23.0,1396.0,90.0,5.0,4.5,Hyundai,i20
3356,Mumbai,Diesel,Manual,19.01,1461.0,108.5,5.0,5.75,Nissan,terrano
3357,Hyderabad,Diesel,Manual,22.32,1582.0,126.32,5.0,6.2,Hyundai,verna
3360,Chennai,Diesel,Manual,21.9,1396.0,88.8,5.0,4.0,Hyundai,i20
3365,Hyderabad,Diesel,Manual,10.5,2835.0,107.2,6.0,6.2,Mitsubishi,pajero
3366,Mumbai,Diesel,Manual,26.0,1498.0,98.6,5.0,6.15,Honda,city
3368,Pune,Diesel,Manual,17.8,1248.0,75.0,5.0,2.15,Maruti,swift
3375,Ahmedabad,Diesel,Manual,25.8,1498.0,98.6,5.0,4.35,Honda,amaze
3376,Jaipur,Diesel,Manual,12.99,2494.0,100.6,7.0,12.0,Toyota,innova
3379,Jaipur,Diesel,Manual,20.45,1461.0,83.8,5.0,4.25,Renault,duster
3381,Kochi,Diesel,Manual,24.3,1248.0,88.5,5.0,8.61,Maruti,vitara
3383,Coimbatore,Diesel,Manual,23.0,1498.0,98.96,5.0,9.25,Ford,ecosport
3386,Mumbai,Diesel,Manual,19.64,1461.0,108.45,5.0,5.75,Renault,duster
3393,Hyderabad,Diesel,Manual,16.4,1896.0,90.0,5.0,2.5,Skoda,octavia
3394,Hyderabad,Diesel,Manual,16.2,1493.0,110.0,5.0,3.85,Hyundai,verna
3397,Chennai,Diesel,Manual,20.0,1399.0,68.0,5.0,2.25,Ford,figo
3402,Hyderabad,Diesel,Manual,23.0,1396.0,90.0,5.0,4.99,Hyundai,i20
3408,Bangalore,Diesel,Manual,13.6,2523.0,63.0,7.0,2.5,Mahindra,bolero
3415,Kochi,Diesel,Manual,25.2,1248.0,74.0,5.0,5.63,Maruti,swift
3418,Delhi,Diesel,Manual,23.57,1396.0,70.0,5.0,1.2,Tata,indigo
3420,Pune,Diesel,Manual,22.07,1199.0,73.9,5.0,3.05,Volkswagen,polo
3424,Hyderabad,Diesel,Manual,21.64,1461.0,84.8,5.0,4.75,Renault,scala
3425,Coimbatore,Diesel,Manual,24.3,1248.0,88.5,5.0,10.15,Maruti,vitara
3427,Hyderabad,Diesel,Manual,20.0,1399.0,68.05,5.0,3.8,Ford,figo
3429,Pune,Diesel,Manual,19.01,1461.0,108.5,5.0,5.0,Nissan,terrano
3431,Jaipur,Diesel,Manual,21.27,1396.0,88.76,5.0,4.11,Hyundai,i20
3433,Mumbai,Diesel,Manual,10.5,2835.0,107.2,6.0,3.45,Mitsubishi,pajero
3438,Kolkata,Diesel,Manual,25.8,1498.0,98.6,5.0,3.25,Honda,amaze
3439,Pune,Diesel,Manual,17.8,1248.0,98.35133885102239,5.0,3.1,Maruti,swift
3440,Coimbatore,Diesel,Manual,22.7,1498.0,89.84,5.0,7.34,Ford,ecosport
3441,Kolkata,Diesel,Manual,20.14,1498.0,88.5,5.0,4.25,Volkswagen,crosspolo
3443,Chennai,Diesel,Manual,12.8,2494.0,102.0,8.0,10.75,Toyota,innova
3454,Kochi,Diesel,Manual,22.7,1498.0,89.84,5.0,5.27,Ford,ecosport
3456,Ahmedabad,Diesel,Manual,26.0,1498.0,98.6,5.0,7.25,Honda,city
3457,Chennai,Diesel,Manual,17.0,1405.0,70.0,5.0,1.6,Tata,indigo
3458,Pune,Diesel,Manual,19.01,1461.0,108.45,5.0,6.0,Renault,duster
3461,Hyderabad,Diesel,Manual,23.65,1248.0,88.5,5.0,8.99,Maruti,sx4
3464,Hyderabad,Diesel,Manual,21.1,1248.0,73.9,5.0,3.5,Maruti,ritz
3467,Hyderabad,Diesel,Manual,20.45,1461.0,83.8,5.0,6.6,Renault,duster
3470,Mumbai,Diesel,Manual,22.7,1498.0,89.84,5.0,5.55,Ford,ecosport
3475,Hyderabad,Diesel,Manual,14.95,2489.0,93.7,7.0,6.8,Mahindra,xylo
3477,Coimbatore,Diesel,Manual,15.1,2179.0,140.0,7.0,11.6,Mahindra,xuv500
3478,Mumbai,Diesel,Manual,22.7,1582.0,126.24,5.0,6.95,Hyundai,elantra
3482,Ahmedabad,Diesel,Manual,18.2,1248.0,73.8,8.0,3.25,Chevrolet,enjoy
3484,Pune,Diesel,Manual,19.67,1582.0,126.2,5.0,12.0,Hyundai,creta
3485,Jaipur,Diesel,Manual,25.44,936.0,57.6,5.0,1.55,Chevrolet,beat
3486,Delhi,Diesel,Manual,11.5,2982.0,171.0,7.0,10.75,Toyota,fortuner
3491,Hyderabad,Diesel,Manual,17.21,1493.0,100.0,7.0,3.8,Mahindra,quanto
3494,Hyderabad,Diesel,Manual,22.32,1582.0,126.32,5.0,5.5,Hyundai,verna
3496,Jaipur,Diesel,Manual,24.52,1248.0,88.5,7.0,8.7,Maruti,ertiga
3497,Delhi,Diesel,Manual,24.4,1120.0,71.01,5.0,4.95,Hyundai,xcent
3498,Jaipur,Diesel,Manual,22.9,1248.0,74.0,5.0,4.25,Maruti,swift
3499,Kochi,Diesel,Manual,16.0,2179.0,140.0,7.0,10.94,Mahindra,xuv500
3502,Pune,Diesel,Manual,22.54,1396.0,88.73,5.0,6.0,Hyundai,i20
3507,Bangalore,Diesel,Manual,9.5,2835.0,118.6,6.0,9.15,Mitsubishi,pajero
3509,Coimbatore,Diesel,Manual,22.54,1396.0,88.73,5.0,9.18,Hyundai,i20
3524,Jaipur,Diesel,Manual,28.4,1248.0,74.0,5.0,5.1,Maruti,swift
3525,Delhi,Diesel,Manual,25.8,1498.0,98.6,5.0,3.5,Honda,amaze
3527,Hyderabad,Diesel,Manual,23.5,1396.0,88.7,5.0,5.55,Hyundai,verna
3538,Chennai,Diesel,Manual,20.14,1498.0,88.8,5.0,4.75,Volkswagen,polo
3539,Hyderabad,Diesel,Manual,19.87,1461.0,83.14,5.0,5.8,Nissan,terrano
3543,Hyderabad,Diesel,Manual,16.0,2179.0,140.0,7.0,12.25,Mahindra,xuv500
3544,Jaipur,Diesel,Manual,16.3,1956.0,170.0,5.0,20.0,Jeep,compass
3545,Jaipur,Diesel,Manual,16.0,2179.0,140.0,7.0,16.0,Mahindra,xuv500
3548,Kolkata,Diesel,Manual,15.4,2179.0,120.0,7.0,9.75,Mahindra,scorpio
3550,Pune,Diesel,Manual,25.6,1498.0,98.6,5.0,12.0,Honda,city
3552,Chennai,Diesel,Manual,24.0,1186.0,73.97,5.0,5.95,Hyundai,grand
3555,Coimbatore,Diesel,Manual,13.68,2393.0,147.8,7.0,22.2,Toyota,innova
3558,Delhi,Diesel,Manual,20.0,1399.0,68.05,5.0,3.47,Ford,figo
3563,Hyderabad,Diesel,Manual,23.65,1248.0,88.5,5.0,7.99,Maruti,s
3565,Bangalore,Diesel,Manual,20.77,1248.0,88.8,7.0,8.75,Maruti,ertiga
3570,Delhi,Diesel,Manual,11.5,2982.0,171.0,7.0,11.4,Toyota,fortuner
